DATE,CASES,HOSPITALIZATIONS,DEATHS
20200101,0,0,0
20200102,0,0,0
20200103,0,0,0
20200104,0,0,0
20200105,0,0,0
20200106,0,0,0
20200107,0,0,0
20200108,0,0,0
20200109,0,0,0
20200110,0,0,0
20200111,0,0,0
20200112,0,0,0
20200113,0,0,0
20200114,0,0,0
20200115,0,0,0
20200116,0,0,0
20200117,0,0,0
20200118,0,0,0
20200119,0,0,0
20200120,0,0,0
20200121,0,0,0
20200122,0,0,0
20200123,0,0,0
20200124,0,0,0
20200125,0,0,0
20200126,0,0,0
20200127,0,0,0
20200128,0,0,0
20200129,0,0,0
20200130,0,0,0
20200131,0,0,0
20200201,0,0,0
20200202,0,0,0
20200203,0,0,0
20200204,0,0,0
20200205,0,0,0
20200206,0,0,0
20200207,0,0,0
20200208,0,0,0
20200209,0,0,0
20200210,0,0,0
20200211,0,0,0
20200212,0,0,0
20200213,0,0,0
20200214,0,0,0
20200215,0,0,0
20200216,0,0,0
20200217,0,0,0
20200218,0,0,0
20200219,0,0,0
20200220,0,0,0
20200221,0,0,0
20200222,0,0,0
20200223,0,0,0
20200224,0,0,0
20200225,0,0,0
20200226,0,0,0
20200227,0,0,0
20200228,0,0,0
20200229,1,14,0
20200301,1,4,0
20200302,0,23,0
20200303,2,22,0
20200304,5,22,0
20200305,3,21,0
20200306,7,23,0
20200307,7,16,0
20200308,21,16,0
20200309,57,52,0
20200310,69,65,0
20200311,154,86,1
20200312,353,90,0
20200313,619,146,0
20200314,643,159,2
20200315,1031,191,5
20200316,2122,306,9
20200317,2452,353,8
20200318,2969,465,20
20200319,3703,552,24
20200320,4007,661,46
20200321,2634,688,44
20200322,2576,727,50
20200323,3562,1043,82
20200324,4493,1153,95
20200325,4835,1298,121
20200326,5021,1425,187
20200327,5088,1384,212
20200328,3455,1340,264
20200329,3521,1387,288
20200330,6096,1695,321
20200331,5425,1631,372
20200401,5427,1541,429
20200402,5751,1606,485
20200403,5647,1605,481
20200404,3845,1333,487
20200405,3764,1322,561
20200406,6352,1694,563
20200407,6046,1567,590
20200408,5553,1524,543
20200409,5025,1395,532
20200410,4426,1309,514
20200411,3704,1081,521
20200412,2866,969,550
20200413,3288,1204,549
20200414,4120,1062,497
20200415,3864,975,437
20200416,3515,854,399
20200417,3569,897,362
20200418,2162,649,360
20200419,2346,592,372
20200420,3769,716,344
20200421,3056,656,303
20200422,3451,602,294
20200423,2831,521,306
20200424,2466,566,298
20200425,1589,406,237
20200426,1007,377,227
20200427,2305,453,250
20200428,2716,445,214
20200429,2334,404,224
20200430,2008,333,203
20200501,1869,354,197
20200502,1054,277,180
